Animal #,Phenotype,Sex,Body length (cm),Weight (g),Hindlimb digits,Hindlimb digits,+/- spleen,stomach (cm),,small intestine (cm),,large intestine & rectum,,+/- caecum,Stock,Dissector,Skeleton Stained?,Uterine horns
,,,,,Left,Right,,length,width,length,width,length,width,,,mo,,
1,Dh/+,m,10.2,31.33,OD; 4 digits,OD; 4 digits,-,2.1,0.8,26.9,0.2-0.4,10.2,0.3-0.5,+;0.6,Original,eh,no,
2,Dh/+,m,10.9,37.48,OD; 4 digits,OD; 4 digits,-,1.9,0.9,23.5,0.2-0.4,8.5,0.2-0.3,+,Original,mo,no,
3,Dh/+,m,10,29.74,OD; 4 digits,TP digit 1; 5 digits,-,1.8,0.6,28.8,0.2-0.3,11.2,0.2-0.5,+,Original,eh,no,
4,+/+,m,8.7,18.55,5 digits,5 digits,+,1.8,0.8,27.3,0.2-0.3,7.5,0.2-0.4,+;2.6,Original,mo,no,
5,+/+,f,8.2,19.04,5 digits,5 digits,+,1.5,0.6,25.7,0.2-0.4,7.5,0.1-0.2,+;0.9,Original,eh,no,
6,+/+,f,8.2,16.93,5 digits,5 digits,+,1.8,0.8,25.5,0.2-0.4,7.5,0.2-0.3,+;2.4,Original,mo,no,
7,+/+,m,8.1,15.9,5 digits,5 digits,+,1.7,0.8,30,0.2-0.4,8.2,0.2-0.4,+;2.2,Original,mo,no,
8,Dh/+,m,9.5,22.7,5 digits,4 digits,-,1.6,0.9,24.2,0.2-0.4,6.9,0.1-0.3,+;1.2(L) ; 0.4 (W),Original,kh,no,
9,Dh/+,m,8.8,20.76,5 digits; TP,5 digits; TP,-,1.3,0.8,24.4,0.1-0.4,6.6,0.1-0.3,+;2(L); 0.6(w),F1,eh,no,
10,Dh/+,m,8.8,17.2,OD; 3 digits,OD; 3 digits,-,0.9,0.6,19.5,0.3-0.4,7.5,0.1-0.4,+1.6(L);0.7(W),F1,eh,no,
11,+/+,m,8.3,13.53,5,5 digits,+,1.1,0.8,23.7,0.1-0.3,6.7,0.1-0.2,+;2.5(l); 0.4(w),F1,eh,yes,
12,+/+,m,6.8,10.75,5 digits,5 digits,+,1.3,0.6,23.2,0.1-0.2,6.7,0.1-0.3,+; 1.6(L); 0.7(W),F1,eh,yes,
13,+/+,m,7.4,10.96,5 digits,5 digits,+,1,0.4,23.9,0.2-0.4,7.7,0.1-0.4,+; '1.5(L); '0.5(W),F1,kh,yes,
14,+/+,m,7.5,13.53,5,5,+,1.2,0.6,27.7,0.1-0.5,7.7,0.1-0.4,+; 2.3(L); 0.8(W),F1,eh,yes,
15,Dh/+,m,6.6,7.79,5,5;OD,-,1.2,0.6,17.9,0.1-0.2,4.8,0.1-0.3,+; 0.8(l); 0.4(w),F1,eh,yes,
16*,Dh/+,f,9,27.4,5 digits; TP,OD,-,1.4,0.8,26.5,0.2-0.4,7,0.3-0.5,+;1.7(L); 0.6(W),F1,EH,Yes,8R; 3L
17,+/+,f,8.9,23.72,5 digits,5 digits,+,1.4,0.8,27.8,0.2-0.3,8,02-0.4,+; 1.8(L); 1.0(W),Original,Eh,Yes,
18,+/+,f,9.5,25.33,5 digits,5 digits,+,1.3,0.9,31.3,0.2-0.3,8.6,0.2-0.3,+; 2.3(L); 0.8(W),Original,eh,yes,
19,+/+,m,10.6,35.42,5 digits,5 digits,+,1.2,0.7,32.5,0.2-0.4,8.2,0.2-0.5,+;2.4(L); 1.6(W),Original,eh,yes,
